University,Latitude,Longitude
BOSTON UNIVERSITY,42.3504997,-71.1053991
UNIVERSITY OF LEEDS,53.8066815,-1.5550328
PENNSYLVANIA STATE UNIVERSITY,40.7982133,-77.8599084
UNIVERSITY OF SOUTHAMPTON,50.9614912,-1.4252228
UNIVERSITY OF ST ANDREWS,56.3417136,-2.7942674
UNIVERSITY OF SCIENCE AND TECHNOLOGY OF CHINA,31.821994,117.28059
EINDHOVEN UNIVERSITY OF TECHNOLOGY,51.44860980000001,5.4907148
PURDUE UNIVERSITY,40.4237054,-86.92119459999999
SUNGKYUNKWAN UNIVERSITY,37.588227,126.993606
"UNIVERSITY OF CALIFORNIA, DAVIS (UCD)",38.5382322,-121.7617125
WASHINGTON UNIVERSITY IN ST. LOUIS,38.6487895,-90.31079620000001
"KTH, ROYAL INSTITUTE OF TECHNOLOGY",59.34980649999999,18.0706646
TRINITY COLLEGE DUBLIN (TCD),53.3437935,-6.254571599999999
THE HONG KONG POLYTECHNIC UNIVERSITY,22.3043097,114.1796242
YONSEI UNIVERSITY,37.565784,126.938572
UNIVERSITY OF GENEVA,46.199444,6.1451157
UNIVERSITY OF ALBERTA,53.5232189,-113.5263186
UNIVERSITY OF HELSINKI,60.1726348,24.9510419
NAGOYA UNIVERSITY,35.1538518,136.9682397
TECHNICAL UNIVERSITY OF DENMARK,55.7855742,12.521381
UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO (UNAM),19.3188895,-99.1843676
THE UNIVERSITY OF ADELAIDE,-34.920603,138.6062277
UNIVERSITY OF SOUTHERN CALIFORNIA,34.0223519,-118.285117
"KIT, KARLSRUHER INSTITUT FÜR TECHNOLOGIE",49.0119199,8.4170303
UPPSALA UNIVERSITY,59.85090049999999,17.6300093
UNIVERSIDADE DE SÃO PAULO (USP),-23.5613991,-46.7307891
QUEEN MARY UNIVERSITY OF LONDON (QMUL),51.5176409,-0.06086569999999999
UNIVERSITY OF GRONINGEN,53.2192634,6.562987199999999
HUMBOLDT-UNIVERSITÄT ZU BERLIN,52.517883,13.3936551
LEIDEN UNIVERSITY,52.1571485,4.485209
NANJING UNIVERSITY,32.0568391,118.7789602
UTRECHT UNIVERSITY,52.0901527,5.1226018
WAGENINGEN UNIVERSITY,51.9845558,5.6657696
KYUSHU UNIVERSITY,33.6266584,130.4250445
"UNIVERSITY OF MARYLAND, COLLEGE PARK",38.9869183,-76.9425543
CHALMERS UNIVERSITY OF TECHNOLOGY,57.6897063,11.9741654
HOKKAIDO UNIVERSITY,43.0779575,141.340013
FREIE UNIVERSITÄT BERLIN,52.45100060000001,13.2816511
LANCASTER UNIVERSITY,54.0103942,-2.7877294
PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,-33.4411279,-70.6407933
"UNIVERSITY OF CALIFORNIA, SANTA BARBARA (UCSB)",34.4139629,-119.848947
UNIVERSITY OF YORK,53.9461089,-1.0517718
UNIVERSITY OF OSLO,59.9399586,10.7217496
UNIVERSITY OF PITTSBURGH,40.4443533,-79.960835
CENTRALESUPÉLEC,48.7087594,2.1640062
UNIVERSITY OF GHENT,51.0465619,3.727918099999999
UNIVERSITY OF BERN,46.9504896,7.438119
AALTO UNIVERSITY,60.1866693,24.827682
AARHUS UNIVERSITY,56.1681384,10.2030118
MICHIGAN STATE UNIVERSITY,42.701848,-84.4821719
NEWCASTLE UNIVERSITY,54.9791871,-1.6146608
RHEINISCH-WESTFÄLISCHE TECHNISCHE HOCHSCHULE AACHEN,50.7800778,6.065686899999999
CARDIFF UNIVERSITY,51.48662710000001,-3.1788641
MCMASTER UNIVERSITY,43.260879,-79.9192254
TECHNISCHE UNIVERSITÄT BERLIN,52.5125322,13.3269446
EMORY UNIVERSITY,33.7925195,-84.32399889999999
UNIVERSITÉ DE MONTRÉAL,45.5056156,-73.61375919999999
UNIVERSITY OF LAUSANNE,46.5210895,6.5801606
HANYANG UNIVERSITY,37.5572321,127.0453219
UNIVERSITY OF LIVERPOOL,53.40478239999999,-2.965299
ÉCOLE NORMALE SUPÉRIEURE DE LYON,45.72976569999999,4.8268064
HEBREW UNIVERSITY OF JERUSALEM,31.7945578,35.2414009
UNIVERSITY OF EXETER,50.7371369,-3.5351475
POLITECNICO DI MILANO,45.47809059999999,9.2282377
UNIVERSITY OF MINNESOTA,44.97399,-93.2277285
UNIVERSITY OF BATH,51.3782228,-2.3263987
UNIVERSIDAD AUTÓNOMA DE MADRID,40.5466983,-3.6943619
UNIVERSITY OF BASEL,47.56025349999999,7.5826
UNIVERSITY OF TECHNOLOGY SYDNEY (UTS),-33.8832376,151.2004942
INDIAN INSTITUTE OF TECHNOLOGY BOMBAY (IITB),19.1334302,72.9132679
NATIONAL TSING HUA UNIVERSITY,24.7947253,120.9932316
UNIVERSITY OF WATERLOO,43.4722854,-80.5448576
UNIVERSITÉ CATHOLIQUE DE LOUVAIN (UCL),50.66968749999999,4.6155909
UNIVERSITAT DE BARCELONA (UB),41.386608,2.16402
SCUOLA SUPERIORE SANT'ANNA PISA,43.7209661,10.4027859
EBERHARD KARLS UNIVERSITÄT TÜBINGEN,48.5294782,9.043773999999999
"UNIVERSITY OF CALIFORNIA, IRVINE (UCI)",33.6404952,-117.8442962
INDIAN INSTITUTE OF SCIENCE (IISC) BANGALORE,13.0218597,77.5671423
UNIVERSITY OF BERGEN,60.3878586,5.3217549
INDIAN INSTITUTE OF TECHNOLOGY DELHI (IITD),28.5449756,77.19262839999999
UNIVERSITY OF ABERDEEN,57.16475999999999,-2.1015257
UNIVERSITY OF TWENTE,52.23979740000001,6.8499883
SCUOLA NORMALE SUPERIORE DI PISA,43.719601,10.40033
UNIVERSITÄT WIEN,48.2196989,16.3515215
UNIVERSITY OF OTAGO,-45.8646835,170.5144227
TECNOLÓGICO DE MONTERREY (ITESM),25.6515649,-100.28954
ERASMUS UNIVERSITY ROTTERDAM,51.91752,4.525585
QUEEN'S UNIVERSITY OF BELFAST,54.5844087,-5.9340493
UNIVERSITÀ DI BOLOGNA (UNIBO),44.4962318,11.354157
UNIVERSITY OF FLORIDA,29.6436325,-82.3549302
DARTMOUTH COLLEGE,43.7044406,-72.2886935
UNIVERSITI KEBANGSAAN MALAYSIA (UKM),3.1681251,101.7005373
UNIVERSITY OF ROCHESTER,43.1305531,-77.6260033
CASE WESTERN RESERVE UNIVERSITY,41.5043413,-81.6083838
UNIVERSITÄT FREIBURG,47.9935441,7.845949599999999
VRIJE UNIVERSITEIT BRUSSEL (VUB),50.821658,4.394886
KING FAHD UNIVERSITY OF PETROLEUM & MINERALS (KFUPM),26.3048047,50.1498042
UNIVERSITY OF COLORADO AT BOULDER,40.00758099999999,-105.2659417
TECHNISCHE UNIVERSITÄT DRESDEN,51.02927340000001,13.7289964
UNIVERSITY OF VIRGINIA,38.0335529,-78.5079772
UNIVERSITAT AUTÓNOMA DE BARCELONA,41.5019255,2.1048538
UNIVERSITY COLLEGE DUBLIN (UCD),53.30823119999999,-6.224133
UNIVERSITY OF READING,51.4414205,-0.9418157
VANDERBILT UNIVERSITY,36.1447034,-86.8026551
GEORG-AUGUST-UNIVERSITÄT GÖTTINGEN,51.5408116,9.9374005
KEIO UNIVERSITY,35.6489643,139.7429376
TECHNISCHE UNIVERSITÄT WIEN,48.1986546,16.3684626
STOCKHOLM UNIVERSITY,59.3621737,18.057831
UNIVERSITY OF CAPE TOWN,-33.95762680000001,18.4593354
UNIVERSITI PUTRA MALAYSIA (UPM),2.9931517,101.7158722
TEXAS A&M UNIVERSITY,30.618531,-96.33649899999999
RADBOUD UNIVERSITY NIJMEGEN,51.81670099999999,5.865272
UNIVERSIDADE ESTADUAL DE CAMPINAS (UNICAMP),-22.8184393,-47.0647206
UNIVERSIDAD COMPLUTENSE DE MADRID (UCM),40.4454368,-3.7299424
UNIVERSITI SAINS MALAYSIA (USM),5.1538434,100.4926583
NATIONAL CHIAO TUNG UNIVERSITY,24.7883959,120.999509
UNIVERSIDAD DE CHILE,-33.4445204,-70.6509277
WASEDA UNIVERSITY,35.7087334,139.7196485
MAASTRICHT UNIVERSITY,50.8471422,5.686401699999999
ARIZONA STATE UNIVERSITY,33.4242399,-111.9280527
UNIVERSITY OF NOTRE DAME,41.7055716,-86.2353388
"UNIVERSITY OF ILLINOIS, CHICAGO (UIC)",41.8697938,-87.6496336
UNIVERSITY OF NEWCASTLE,-32.8927718,151.7041775
WESTERN UNIVERSITY,43.0095971,-81.2737336
SAPIENZA - UNIVERSITÀ DI ROMA,41.9037626,12.5144384
LOUGHBOROUGH UNIVERSITY,52.7650814,-1.2320534
UNIVERSITY OF WOLLONGONG,-34.4054039,150.87843
AL-FARABI KAZAKH NATIONAL UNIVERSITY,43.2252358,76.92191869999999
SCIENCES PO PARIS,48.8540917,2.3283745
VICTORIA UNIVERSITY OF WELLINGTON,-41.2904017,174.7686615
UNIVERSITÄT HAMBURG,53.5665641,9.984619499999999
UNIVERSITY OF ANTWERP,51.2228097,4.4102318
UNIVERSITY OF LEICESTER,52.6211393,-1.1246325
GEORGETOWN UNIVERSITY,38.9076089,-77.07225849999999
UNIVERSITY OF SUSSEX,50.86708950000001,-0.08791399999999999
UNIVERSITI TEKNOLOGI MALAYSIA (UTM),2.149223,102.7721509
UNIVERSITY OF CALGARY,51.0775908,-114.140695
TEL AVIV UNIVERSITY,32.1133141,34.8043877
KING ABDUL AZIZ UNIVERSITY (KAU),21.494102,39.232617
UNIVERSITY OF CANTERBURY,-43.5235375,172.5839233
VRIJE UNIVERSITEIT AMSTERDAM,52.3337568,4.8657199
NATIONAL CHENG KUNG UNIVERSITY,22.9988416,120.2195148
SAINT-PETERSBURG STATE UNIVERSITY,59.941894,30.2989199
ROYAL HOLLOWAY UNIVERSITY OF LONDON,51.425673,-0.5630625
AMERICAN UNIVERSITY OF BEIRUT (AUB),33.9008359,35.480744
TUFTS UNIVERSITY,42.4074843,-71.1190232
QUEEN'S UNIVERSITY,44.2252795,-76.49514119999999
UNIVERSITÉ LIBRE DE BRUXELLES (ULB),50.8132068,4.3822222
UNIVERSITÉ PARIS-SUD 11,48.6976847,2.1764839
UNIVERSIDAD DE NAVARRA,42.8014994,-1.6597421
UNIVERSITY OF MIAMI,25.7216374,-80.2792805
NOVOSIBIRSK STATE UNIVERSITY,54.8477462,83.0943884
QUEENSLAND UNIVERSITY OF TECHNOLOGY (QUT),-27.477357,153.028415
UNIVERSITY OF ARIZONA,32.2318851,-110.9501094
TECHNION - ISRAEL INSTITUTE OF TECHNOLOGY,32.7767783,35.0231271
UNIVERSITY OF SURREY,51.2427533,-0.5877755
UNIVERSITÀ DEGLI STUDI DI PADOVA (UNIPD),45.406766,11.8774462
CURTIN UNIVERSITY,-32.0061951,115.8944182
MACQUARIE UNIVERSITY,-33.77382370000001,151.1126498
RMIT UNIVERSITY,-37.809286,144.9644092
TECHNISCHE UNIVERSITÄT DARMSTADT,49.8748277,8.6563281
UNIVERSIDAD CARLOS III DE MADRID,40.3325323,-3.7653171
RHEINISCHE FRIEDRICH-WILHELMS-UNIVERSITÄT BONN,50.7267715,7.0865227
KING SAUD UNIVERSITY (KSU),24.7239539,46.6316125
NATIONAL TAIWAN UNIVERSITY OF SCIENCE AND TECHNOLOGY,25.0136906,121.5406792
WUHAN UNIVERSITY,30.5360485,114.3643219
"UNIVERSITY OF MASSACHUSETTS, AMHERST",42.3867598,-72.5300515
"NATIONAL UNIVERSITY OF IRELAND, GALWAY (NUIG)",53.2770243,-9.0614864
UNIVERSITÄT STUTTGART,48.78164719999999,9.1724985
UNIVERSITY OF TSUKUBA,36.1088927,140.1038105
ECOLE DES PONTS PARISTECH,48.84057900000001,2.586968
INDIAN INSTITUTE OF TECHNOLOGY MADRAS (IITM),12.9914929,80.2336907
KYUNG HEE UNIVERSITY,37.5961951,127.052544
SIMON FRASER UNIVERSITY,49.2780937,-122.9198833
UNIVERSITY OF SOUTH AUSTRALIA (UNISA),-34.9201652,138.6066669
UNIVERSITY OF STRATHCLYDE,55.862122,-4.2422851
UNIVERSITY OF EAST ANGLIA (UEA),52.6219215,1.2391761
UNIVERSITY OF GOTHENBURG,57.6981719,11.971878
CHULALONGKORN UNIVERSITY,13.7397319,100.530832
UNIVERSIDAD DE LOS ANDES COLOMBIA,4.6017869,-74.0660769
UNIVERSITY OF DUNDEE,56.45824469999999,-2.9821428
UNIVERSITY OF WAIKATO,-37.7868611,175.3184579
UNIVERSIDAD NACIONAL DE COLOMBIA,4.6381938,-74.08404639999999
UNIVERSITAT POLITÈCNICA DE CATALUNYA,41.388004,2.1132804
HONG KONG BAPTIST UNIVERSITY (HKBU),22.3386388,114.1819316
TOMSK STATE UNIVERSITY,56.4694917,84.9478675
DALHOUSIE UNIVERSITY,44.63658119999999,-63.59165549999999
NORTH CAROLINA STATE UNIVERSITY,35.7755001,-78.67339659999999
UNIVERSITÄT FRANKFURT AM MAIN,50.1270675,8.6677635
UNIVERSITÄT INNSBRUCK,47.26335419999999,11.3838006
INDIAN INSTITUTE OF TECHNOLOGY KANPUR (IITK),26.5123388,80.2329
"RUTGERS - THE STATE UNIVERSITY OF NEW JERSEY, NEW BRUNSWICK",40.5008186,-74.44739910000001
HARBIN INSTITUTE OF TECHNOLOGY,45.7470436,126.6334306
UNIVERSITY OF TURKU,60.4562974,22.2851138
UNIVERSITY OF TASMANIA,-42.9036462,147.325848
"SOAS - SCHOOL OF ORIENTAL AND AFRICAN STUDIES, UNIVERSITY OF LONDON",51.52235,-0.129259
UNIVERSITÉ GRENOBLE-ALPES (UGA),45.1914198,5.7672724
UNIVERSITY OF OTTAWA,45.42310639999999,-75.68313289999999
TONGJI UNIVERSITY,31.2627211,121.4598975
BEIJING NORMAL UNIVERSITY,39.9619537,116.3662615
NATIONAL YANG MING UNIVERSITY,25.123002,121.513702
UNIVERSITY OF INDONESIA,-6.3627638,106.8270482
INDIAN INSTITUTE OF TECHNOLOGY KHARAGPUR (IITKGP),22.3149274,87.31053109999999
SUN YAT-SEN UNIVERSITY,23.0965384,113.298883
UNIVERSITÉ PARIS DIDEROT - PARIS 7,48.8529498,2.3628863
UNIVERSITAT POMPEU FABRA,41.3789689,2.179794100000001
BAUMAN MOSCOW STATE TECHNICAL UNIVERSITY,55.7659244,37.6855946
UNIVERSITÄT ERLANGEN-NÜRNBERG,49.5978804,11.0045507
UNIVERSITÉ PARIS 1 PANTHÉON-SORBONNE,48.8469373,2.344468
HERIOT-WATT UNIVERSITY,55.9096602,-3.3203494
LINKÖPING UNIVERSITY,58.3978364,15.5760072
ECOLE NORMALE SUPÉRIEURE DE CACHAN,48.78871909999999,2.3272147
"BIRKBECK COLLEGE, UNIVERSITY OF LONDON",51.5219696,-0.1300479
UNIVERSITÄT KÖLN,50.9281625,6.9288193
NATIONAL TAIWAN NORMAL UNIVERSITY,25.0260598,121.5275321
DEAKIN UNIVERSITY,-38.1438148,144.3601864
UNIVERSIDAD POLITECNICA DE VALENCIA,39.4796686,-0.3458847
YESHIVA UNIVERSITY,40.85067249999999,-73.9295149
MOSCOW INSTITUTE OF PHYSICS AND TECHNOLOGY STATE UNIVERSITY,55.9297243,37.5199434
UNIVERSITY AT BUFFALO SUNY,43.0008093,-78.7889697
XI'AN JIAOTONG UNIVERSITY,34.250803,108.983693
GWANGJU INSTITUTE OF SCIENCE AND TECHNOLOGY (GIST),35.2265288,126.839987
KHALIFA UNIVERSITY,24.4473556,54.3949088
CHARLES UNIVERSITY,50.0871106,14.4234889
LINCOLN UNIVERSITY,-43.6436854,172.4677741
EWHA WOMANS UNIVERSITY,37.5597476,126.9455228
TILBURG UNIVERSITY,51.5631406,5.0419736
HIROSHIMA UNIVERSITY,34.4020801,132.7138618
UNIVERSITY OF TARTU,58.3810843,26.7198659
INDIANA UNIVERSITY BLOOMINGTON,39.1754487,-86.512627
UNIVERSITY OF BRUNEI DARUSSALAM,4.972665,114.89397
UNIVERSITÀ DEGLI STUDI DI MILANO,45.4601435,9.194584299999999
NORTHEASTERN UNIVERSITY,42.3398067,-71.0891717
UNIVERSITÄT JENA,50.9295513,11.5898195
UNIVERSITY OF PORTO,41.1465479,-8.6156998
"NATIONAL RESEARCH NUCLEAR UNIVERSITY ""MEPHI"" (MOSCOW ENGINEERING PHYSICS INSTITUTE)",55.649567,37.6638742
WESTFÄLISCHE WILHELMS-UNIVERSITÄT MÜNSTER,51.9645825,7.6139843
BRUNEL UNIVERSITY,51.5324044,-0.4729931
MASSEY UNIVERSITY,-36.7323894,174.7027411
QATAR UNIVERSITY,25.377281,51.49117099999999
UNIVERSITÄT ULM,48.4222305,9.955582
"UNIVERSITY OF CALIFORNIA, SANTA CRUZ (UCSC)",36.9880503,-122.0582093
UNIVERSITY OF JYVÄSKYLÄ,62.23653170000001,25.7316336
NANKAI UNIVERSITY,39.10394429999999,117.1742232
UMEÅ UNIVERSITY,63.82022240000001,20.3054461
UNIVERSITÄT MANNHEIM,49.48371059999999,8.4622333
UNIVERSITY COLLEGE CORK (UCC),51.89211239999999,-8.493267099999999
VIRGINIA POLYTECHNIC INSTITUTE (VIRGINIA TECH),37.22838429999999,-80.42341669999999
AALBORG UNIVERSITY,57.0145665,9.9818527
NATIONAL RESEARCH UNIVERSITY - HIGHER SCHOOL OF ECONOMICS (HSE),55.80343019999999,37.4099802
GEORGE WASHINGTON UNIVERSITY,38.8997145,-77.0485992
RENSSELAER POLYTECHNIC INSTITUTE,42.730172,-73.67880300000002
UNIVERSITY OF UTAH,40.7649368,-111.8421021
UNIVERSITÉ DE STRASBOURG,48.5790692,7.766454499999999
STONY BROOK UNIVERSITY,40.9123761,-73.1233889
UNITED ARAB EMIRATES UNIVERSITY,24.200588,55.67603399999999
CITY UNIVERSITY LONDON,51.5278249,-0.1025445
KOBE UNIVERSITY,34.7257018,135.2336432
TOKYO MEDICAL AND DENTAL UNIVERSITY,35.7014781,139.7642268
BELARUS STATE UNIVERSITY,53.8938988,27.5460609
MOSCOW STATE INSTITUTE OF INTERNATIONAL RELATIONS – MGIMO UNIVERSITY,55.6728244,37.4846619
UNIVERSITY OF ESSEX,51.87772589999999,0.9472069000000001
UNIVERSITY OF KENT,51.297233,1.0632172
UNIVERSITY OF LISBON,38.7526578,-9.158244999999999
BANDUNG INSTITUTE OF TECHNOLOGY (ITB),-6.89148,107.6106591
UNIVERSITY OF VICTORIA,48.4634067,-123.3116935
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,-22.9541412,-43.1753638
TAIPEI MEDICAL UNIVERSITY,25.025354,121.561618
NORWEGIAN UNIVERSITY OF SCIENCE AND TECHNOLOGY,63.41949899999999,10.4020771
OXFORD BROOKES UNIVERSITY,51.755011,-1.224225
TECHNISCHE UNIVERSITÄT GRAZ,47.0691371,15.4503154
TAMPERE UNIVERSITY OF TECHNOLOGY,61.44897999999999,23.8590618
UNIVERSIDAD AUSTRAL,-34.455733,-58.859075
UNIVERSITY OF KANSAS,38.9543439,-95.2557961
JAMES COOK UNIVERSITY (JCU),-19.3276927,146.7565073
PONTIFICIA UNIVERSIDAD CATÓLICA ARGENTINA SANTA MARÍA DE LOS BUENOS AIRES (UCA),-34.61645740000001,-58.3657194
UNIVERSITY OF TROMSO,69.679788,18.9710079
RUHR-UNIVERSITÄT BOCHUM,51.44566589999999,7.261609300000001
TOMSK POLYTECHNIC UNIVERSITY,56.46524849999999,84.94968229999999
UNIVERSITY OF CONNECTICUT,41.8077414,-72.2539805
UNIVERSITY OF ST GALLEN (HSG),47.4321575,9.3755673
AMERICAN UNIVERSITY OF SHARJAH,25.3120502,55.4927023
BOSTON COLLEGE,42.3355488,-71.16849450000001
UNIVERSITY OF OULU,65.0593177,25.4662935
UNIVERSITY OF SOUTHERN DENMARK,55.3689827,10.4282364
MAHIDOL UNIVERSITY,13.7945775,100.3234171
ASTON UNIVERSITY,52.4868584,-1.8882174
INDIAN INSTITUTE OF TECHNOLOGY ROORKEE (IITR),29.8648599,77.89657869999999
UNIVERSITY OF THE WITWATERSRAND,-26.1916888,28.0327614
UNIVERSIDAD DE BELGRANO,-34.5639014,-58.4438185
"UNIVERSITY OF CALIFORNIA, RIVERSIDE (UCR)",33.9737055,-117.3280644
UNIVERSITY OF THE PHILIPPINES,14.5979292,121.0107556
HUFS – HANKUK (KOREA) UNIVERSITY OF FOREIGN STUDIES,37.597319,127.057843
POLITECNICO DI TORINO,45.0303312,7.618613000000001
SWINBURNE UNIVERSITY OF TECHNOLOGY,-37.8221504,145.0389546
WAKE FOREST UNIVERSITY,36.1340985,-80.2778951
UNIVERSITAS GADJAH MADA,-7.7713847,110.3774998
UNIVERSITY OF LIEGE,50.5830803,5.559063999999999
WASHINGTON STATE UNIVERSITY,46.7319225,-117.1542121
L.N. GUMILYOV EURASIAN NATIONAL UNIVERSITY,51.157963,71.46741709999999
UNIVERSITY OF WARSAW,52.2403463,21.0186012
"GOLDSMITHS, UNIVERSITY OF LONDON",51.47427099999999,-0.035408
CHUNG-ANG UNIVERSITY,37.5050881,126.9571012
LA TROBE UNIVERSITY,-37.7206671,145.048414
PAKISTAN INSTITUTE OF ENGINEERING AND APPLIED SCIENCES (PIEAS),33.6562076,73.2643987
UNIVERSITÄT KONSTANZ,47.689426,9.1868777
UNIVERSITY OF COLORADO AT DENVER,39.7463596,-105.002342
LAVAL UNIVERSITY,46.78174629999999,-71.2747424
NATIONAL SUN YAT-SEN UNIVERSITY,22.628388,120.264737
